cells	labels
NTC1-0909-ZL	N
NTC1-20161212	N
NTC1-20161228	N
NTC1-20170215	N
NTC1-20170411	N
NTC1-20170413	N
NTC1-20170825	N
NTC10-0909-ZL	N
NTC10-20161212	N
NTC10-20170215	N
NTC10-20170413	N
NTC10-20170825	N
NTC100-20161228	N
NTC100-20170411	N
NTC100-20170825	N
NTC100-20180123	N
NTC101-20161228	N
NTC101-20170411	N
NTC101-20180123	N
NTC102-20161212	N
NTC102-20161228	N
NTC102-20170411	N
NTC102-20180123	N
NTC103-20161212	N
NTC103-20161228	N
NTC103-20170411	N
NTC103-20180123	N
NTC104-20161212	N
NTC104-20161228	N
NTC104-20170411	N
NTC105-20161212	N
NTC105-20161228	N
NTC105-20170411	N
NTC105-20170825	N
NTC106-20161212	N
NTC106-20161228	N
NTC106-20170411	N
NTC106-20170825	N
NTC106-20180123	N
NTC107-20161212	N
NTC107-20161228	N
NTC107-20170411	N
NTC107-20180123	N
NTC108-20161212	N
NTC108-20161228	N
NTC108-20170411	N
NTC108-20180123	N
NTC109-20161212	N
NTC109-20161228	N
NTC109-20170411	N
NTC109-20170825	N
NTC11-0909-ZL	N
NTC11-20161212	N
NTC11-20161228	N
NTC11-20170215	N
NTC11-20170411	N
NTC11-20170413	N
NTC11-20170825	N
NTC11-20180123	N
NTC110-20161228	N
NTC110-20170411	N
NTC110-20180123	N
NTC111-20161212	N
NTC111-20161228	N
NTC111-20170411	N
NTC111-20180123	N
NTC112-20161212	N
NTC112-20161228	N
NTC112-20170411	N
NTC112-20180123	N
NTC113-20161228	N
NTC113-20180123	N
NTC114-20161212	N
NTC114-20161228	N
NTC114-20170411	N
NTC114-20180123	N
NTC115-20161212	N
NTC115-20161228	N
NTC115-20180123	N
NTC116-20161228	N
NTC116-20170411	N
NTC117-20161228	N
NTC117-20170411	N
NTC117-20180123	N
NTC118-20161212	N
NTC118-20161228	N
NTC118-20170411	N
NTC118-20180123	N
NTC119-20161212	N
NTC119-20161228	N
NTC119-20170411	N
NTC119-20180123	N
NTC12-0909-ZL	N
NTC12-20161212	N
NTC12-20161228	N
NTC12-20170411	N
NTC12-20170825	N
NTC120-20161228	N
NTC120-20180123	N
NTC121-20161228	N
NTC121-20170411	N
NTC122-20161212	N
NTC122-20161228	N
NTC122-20170411	N
NTC122-20180123	N
NTC123-20161228	N
NTC123-20170411	N
NTC123-20180123	N
NTC124-20161212	N
NTC124-20161228	N
NTC124-20180123	N
NTC125-20161212	N
NTC125-20161228	N
NTC125-20170411	N
NTC126-20161212	N
NTC126-20161228	N
NTC127-20161212	N
NTC127-20161228	N
NTC127-20170411	N
NTC128-20161228	N
NTC128-20180123	N
NTC129-20161212	N
NTC129-20161228	N
NTC129-20170411	N
NTC129-20180123	N
NTC13-20161228	N
NTC13-20170215	N
NTC13-20170825	N
NTC13-20180123	N
NTC130-20161212	N
NTC130-20161228	N
NTC130-20170411	N
NTC131-20161212	N
NTC131-20161228	N
NTC131-20180123	N
NTC132-20161212	N
NTC132-20161228	N
NTC132-20180123	N
NTC133-20161212	N
NTC133-20161228	N
NTC133-20170411	N
NTC133-20180123	N
NTC134-20161212	N
NTC134-20170411	N
NTC134-20180123	N
NTC135-20161212	N
NTC135-20161228	N
NTC136-20161212	N
NTC136-20161228	N
NTC136-20180123	N
NTC137-20170411	N
NTC137-20180123	N
NTC138-20161212	N
NTC138-20161228	N
NTC138-20170411	N
NTC138-20180123	N
NTC139-20161212	N
NTC139-20161228	N
NTC139-20180123	N
NTC14-20161212	N
NTC14-20161228	N
NTC14-20170215	N
NTC14-20170411	N
NTC14-20170413	N
NTC14-20170825	N
NTC14-20180123	N
NTC140-20161212	N
NTC140-20161228	N
NTC140-20170411	N
NTC141-20161212	N
NTC141-20161228	N
NTC142-20161212	N
NTC142-20161228	N
NTC142-20170411	N
NTC143-20161212	N
NTC143-20180123	N
NTC144-20161228	N
NTC144-20170411	N
NTC144-20180123	N
NTC145-20161212	N
NTC145-20161228	N
NTC145-20180123	N
NTC146-20161212	N
NTC146-20161228	N
NTC146-20180123	N
NTC147-20161212	N
NTC147-20161228	N
NTC147-20180123	N
NTC148-20161212	N
NTC148-20180123	N
NTC149-20161228	N
NTC149-20180123	N
NTC15-0909-ZL	N
NTC15-20161212	N
NTC15-20161228	N
NTC15-20170215	N
NTC15-20170411	N
NTC15-20170413	N
NTC15-20170825	N
NTC150-20180123	N
NTC151-20161212	N
NTC152-20161228	N
NTC152-20180123	N
NTC153-20161212	N
NTC153-20161228	N
NTC154-20161212	N
NTC154-20180123	N
NTC155-20161212	N
NTC155-20161228	N
NTC156-20161212	N
NTC156-20161228	N
NTC156-20180123	N
NTC157-20180123	N
NTC158-20161212	N
NTC158-20161228	N
NTC158-20180123	N
NTC159-20161212	N
NTC159-20161228	N
NTC159-20180123	N
NTC16-0909-ZL	N
NTC16-20161212	N
NTC16-20161228	N
NTC16-20170215	N
NTC16-20170411	N
NTC16-20170413	N
NTC16-20180123	N
NTC160-20161212	N
NTC160-20161228	N
NTC160-20180123	N
NTC162-20161212	N
NTC162-20161228	N
NTC163-20161212	N
NTC163-20180123	N
NTC164-20161212	N
NTC164-20161228	N
NTC164-20180123	N
NTC165-20161212	N
NTC165-20161228	N
NTC165-20180123	N
NTC166-20161212	N
NTC166-20161228	N
NTC166-20180123	N
NTC167-20161212	N
NTC167-20161228	N
NTC167-20180123	N
NTC168-20161212	N
NTC168-20161228	N
NTC168-20180123	N
NTC169-20161212	N
NTC169-20180123	N
NTC17-0909-ZL	N
NTC17-20161212	N
NTC17-20170215	N
NTC17-20170411	N
NTC17-20170825	N
NTC17-20180123	N
NTC170-20161212	N
NTC170-20161228	N
NTC170-20180123	N
NTC171-20161212	N
NTC171-20180123	N
NTC172-20161212	N
NTC172-20161228	N
NTC172-20180123	N
NTC173-20161212	N
NTC173-20161228	N
NTC173-20180123	N
NTC174-20161212	N
NTC174-20161228	N
NTC175-20161212	N
NTC175-20161228	N
NTC176-20161212	N
NTC176-20161228	N
NTC176-20180123	N
NTC177-20161212	N
NTC177-20161228	N
NTC177-20180123	N
NTC178-20161212	N
NTC178-20161228	N
NTC179-20161212	N
NTC18-0909-ZL	N
NTC18-20161228	N
NTC18-20170215	N
NTC18-20170411	N
NTC18-20170413	N
NTC18-20170825	N
NTC18-20180123	N
NTC180-20161212	N
NTC180-20161228	N
NTC180-20180123	N
NTC181-20161212	N
NTC181-20161228	N
NTC181-20180123	N
NTC182-20161212	N
NTC182-20161228	N
NTC183-20161212	N
NTC183-20180123	N
NTC184-20180123	N
NTC185-20161212	N
NTC186-20161212	N
NTC187-20161212	N
NTC187-20161228	N
NTC187-20180123	N
NTC188-20161212	N
NTC188-20161228	N
NTC188-20180123	N
NTC189-20161212	N
NTC189-20180123	N
NTC19-0909-ZL	N
NTC19-20161228	N
NTC19-20170215	N
NTC19-20170411	N
NTC19-20170413	N
NTC19-20170825	N
NTC19-20180123	N
NTC190-20161228	N
NTC191-20161212	N
NTC191-20161228	N
NTC191-20180123	N
NTC192-20161228	N
NTC193-20161228	N
NTC194-20161228	N
NTC195-20161228	N
NTC196-20161228	N
NTC197-20161228	N
NTC199-20161228	N
NTC2-20161212	N
NTC2-20170215	N
NTC2-20170411	N
NTC2-20170413	N
NTC2-20180123	N
NTC20-0909-ZL	N
NTC20-20161212	N
NTC20-20161228	N
NTC20-20170215	N
NTC20-20170411	N
NTC20-20170413	N
NTC20-20170825	N
NTC200-20161228	N
NTC201-20161212	N
NTC201-20161228	N
NTC202-20161228	N
NTC203-20161228	N
NTC204-20161212	N
NTC204-20161228	N
NTC205-20161212	N
NTC206-20161212	N
NTC209-20161228	N
NTC21-20161212	N
NTC21-20161228	N
NTC21-20170215	N
NTC21-20170825	N
NTC21-20180123	N
NTC211-20161228	N
NTC213-20161212	N
NTC214-20161212	N
NTC214-20161228	N
NTC216-20161228	N
NTC217-20161228	N
NTC218-20161212	N
NTC219-20161228	N
NTC22-20161212	N
NTC22-20161228	N
NTC22-20170215	N
NTC22-20170413	N
NTC22-20170825	N
NTC220-20161228	N
NTC221-20161212	N
NTC222-20161228	N
NTC223-20161212	N
NTC224-20161212	N
NTC225-20161228	N
NTC226-20161228	N
NTC228-20161228	N
NTC229-20161228	N
NTC23-20161212	N
NTC23-20161228	N
NTC23-20170215	N
NTC23-20170411	N
NTC23-20170825	N
NTC230-20161228	N
NTC233-20161228	N
NTC234-20161228	N
NTC236-20161228	N
NTC238-20161228	N
NTC239-20161212	N
NTC239-20161228	N
NTC24-0909-ZL	N
NTC24-20161212	N
NTC24-20161228	N
NTC24-20170215	N
NTC24-20170411	N
NTC24-20170413	N
NTC24-20170825	N
NTC24-20180123	N
NTC242-20161228	N
NTC244-20161228	N
NTC245-20161228	N
NTC246-20161228	N
NTC247-20161228	N
NTC248-20161228	N
NTC25-0909-ZL	N
NTC25-20161212	N
NTC25-20161228	N
NTC25-20170215	N
NTC25-20170413	N
NTC25-20170825	N
NTC25-20180123	N
NTC250-20161228	N
NTC252-20161228	N
NTC254-20161228	N
NTC257-20161228	N
NTC259-20161228	N
NTC26-0909-ZL	N
NTC26-20161228	N
NTC26-20170215	N
NTC26-20170411	N
NTC26-20170825	N
NTC260-20161212	N
NTC261-20161212	N
NTC261-20161228	N
NTC262-20161212	N
NTC262-20161228	N
NTC263-20161212	N
NTC263-20161228	N
NTC264-20161228	N
NTC265-20161228	N
NTC266-20161228	N
NTC267-20161212	N
NTC268-20161212	N
NTC268-20161228	N
NTC269-20161212	N
NTC27-20161212	N
NTC27-20161228	N
NTC27-20170215	N
NTC27-20170411	N
NTC27-20170413	N
NTC27-20170825	N
NTC270-20161212	N
NTC271-20161228	N
NTC272-20161212	N
NTC273-20161212	N
NTC274-20161212	N
NTC274-20161228	N
NTC275-20161212	N
NTC275-20161228	N
NTC276-20161212	N
NTC276-20161228	N
NTC277-20161212	N
NTC278-20161212	N
NTC278-20161228	N
NTC279-20161212	N
NTC28-0909-ZL	N
NTC28-20161212	N
NTC28-20161228	N
NTC28-20170215	N
NTC28-20170411	N
NTC28-20170413	N
NTC28-20170825	N
NTC28-20180123	N
NTC280-20161212	N
NTC282-20161212	N
NTC282-20161228	N
NTC283-20161212	N
NTC283-20161228	N
NTC284-20161212	N
NTC284-20161228	N
NTC285-20161212	N
NTC285-20161228	N
NTC287-20161212	N
NTC288-20161212	N
NTC288-20161228	N
NTC29-20161212	N
NTC29-20161228	N
NTC29-20170411	N
NTC29-20170825	N
NTC29-20180123	N
NTC3-20161212	N
NTC3-20161228	N
NTC3-20170215	N
NTC3-20170411	N
NTC3-20170413	N
NTC3-20170825	N
NTC30-0909-ZL	N
NTC30-20170215	N
NTC30-20170411	N
NTC30-20170413	N
NTC30-20170825	N
NTC31-0909-ZL	N
NTC31-20161212	N
NTC31-20161228	N
NTC31-20170215	N
NTC31-20170411	N
NTC31-20170413	N
NTC31-20170825	N
NTC32-20161212	N
NTC32-20161228	N
NTC32-20170215	N
NTC32-20170411	N
NTC32-20170413	N
NTC32-20180123	N
NTC33-20161212	N
NTC33-20161228	N
NTC33-20170215	N
NTC33-20170825	N
NTC33-20180123	N
NTC34-20161212	N
NTC34-20161228	N
NTC34-20170215	N
NTC34-20170411	N
NTC34-20170413	N
NTC34-20180123	N
NTC35-20161212	N
NTC35-20161228	N
NTC35-20170215	N
NTC35-20170411	N
NTC35-20170413	N
NTC35-20170825	N
NTC36-0909-ZL	N
NTC36-20161212	N
NTC36-20170411	N
NTC36-20170413	N
NTC36-20170825	N
NTC37-20161212	N
NTC37-20170215	N
NTC37-20170411	N
NTC37-20170825	N
NTC38-0909-ZL	N
NTC38-20161212	N
NTC38-20161228	N
NTC38-20170215	N
NTC38-20170411	N
NTC38-20170413	N
NTC38-20170825	N
NTC39-20161212	N
NTC39-20161228	N
NTC39-20170215	N
NTC39-20170411	N
NTC39-20170413	N
NTC39-20170825	N
NTC4-0909-ZL	N
NTC4-20161212	N
NTC4-20161228	N
NTC4-20170215	N
NTC4-20170411	N
NTC4-20170413	N
NTC4-20170825	N
NTC4-20180123	N
NTC40-20161228	N
NTC40-20170411	N
NTC40-20170413	N
NTC40-20170825	N
NTC41-0909-ZL	N
NTC41-20161212	N
NTC41-20161228	N
NTC41-20170215	N
NTC41-20170411	N
NTC41-20170413	N
NTC41-20170825	N
NTC42-20161228	N
NTC42-20170411	N
NTC42-20170413	N
NTC42-20170825	N
NTC43-20161212	N
NTC43-20161228	N
NTC43-20170215	N
NTC43-20170411	N
NTC43-20170413	N
NTC43-20170825	N
NTC44-20161212	N
NTC44-20161228	N
NTC44-20170215	N
NTC44-20170411	N
NTC44-20170413	N
NTC44-20170825	N
NTC44-20180123	N
NTC45-0909-ZL	N
NTC45-20161212	N
NTC45-20161228	N
NTC45-20170215	N
NTC45-20170411	N
NTC45-20170413	N
NTC45-20170825	N
NTC46-20161212	N
NTC46-20170215	N
NTC46-20170413	N
NTC46-20170825	N
NTC46-20180123	N
NTC47-20161212	N
NTC47-20161228	N
NTC47-20170215	N
NTC47-20170413	N
NTC47-20170825	N
NTC47-20180123	N
NTC48-20161212	N
NTC48-20161228	N
NTC48-20170215	N
NTC48-20170411	N
NTC48-20170413	N
NTC48-20170825	N
NTC48-20180123	N
NTC49-20161212	N
NTC49-20170215	N
NTC49-20170411	N
NTC49-20170413	N
NTC49-20170825	N
NTC5-0909-ZL	N
NTC5-20161212	N
NTC5-20161228	N
NTC5-20170215	N
NTC5-20170413	N
NTC5-20170825	N
NTC5-20180123	N
NTC50-20161212	N
NTC50-20170411	N
NTC50-20170413	N
NTC50-20170825	N
NTC50-20180123	N
NTC51-20161212	N
NTC51-20170215	N
NTC51-20170411	N
NTC51-20170413	N
NTC51-20170825	N
NTC51-20180123	N
NTC52-0909-ZL	N
NTC52-20161212	N
NTC52-20161228	N
NTC52-20170215	N
NTC52-20170411	N
NTC52-20170413	N
NTC52-20170825	N
NTC53-20161212	N
NTC53-20161228	N
NTC53-20170215	N
NTC53-20170411	N
NTC54-20170215	N
NTC54-20170411	N
NTC54-20170413	N
NTC54-20170825	N
NTC54-20180123	N
NTC55-20161212	N
NTC55-20161228	N
NTC55-20170215	N
NTC55-20170411	N
NTC55-20170413	N
NTC55-20170825	N
NTC56-20161212	N
NTC56-20161228	N
NTC56-20170215	N
NTC56-20170411	N
NTC56-20170413	N
