cells	labels
HN28_P15_D06_S330_comb	Fibroblast
HN28_P6_G05_S173_comb	Fibroblast
HN26_P14_D11_S239_comb	malignant
HN26_P14_H05_S281_comb	Fibroblast
HN26_P25_H09_S189_comb	malignant
HN26_P14_H06_S282_comb	malignant
HN25_P25_C04_S316_comb	malignant
HN26_P25_A11_S107_comb	Fibroblast
HN26_P25_C09_S129_comb	malignant
HNSCC26_P24_H05_S377_comb	malignant
HN25_P5_E10_S58_comb	Fibroblast
HN25_P24_B02_S110_comb	malignant
HN25_P25_C01_S313_comb	B cell
HN28_P15_G06_S366_comb	Fibroblast
HN26_P6_B06_S18_comb	Fibroblast
HN25_P5_C05_S29_comb	Fibroblast
HN28_P6_D09_S141_comb	Fibroblast
HN26_P5_H01_S85_comb	malignant
HN26_P13_D07_S139_comb	Fibroblast
HN26_P5_E06_S54_comb	malignant
HN26_P26_H05_S377_comb	malignant
HNSCC26_P24_F12_S360_comb	malignant
HNSCC26_P24_F03_S351_comb	malignant
HN26_P6_D08_S44_comb	malignant
HN25_P5_E12_S60_comb	Fibroblast
HNSCC26_P24_C01_S313_comb	malignant
HN25_P5_F01_S61_comb	Fibroblast
HN26_P5_D12_S48_comb	Fibroblast
HN25_P25_C11_S323_comb	Fibroblast
HN25_P25_B12_S312_comb	malignant
HN25_P5_E11_S59_comb	malignant
HN26_P5_G11_S83_comb	Fibroblast
HNSCC26_P12_G04_S268_comb	Fibroblast
HN25_P23_G05_S269_comb	Fibroblast
HN26_P25_E02_S146_comb	malignant
HN25_P25_F01_S349_comb	Fibroblast
HN26_P26_E10_S346_comb	malignant
HN26_P6_B04_S16_comb	malignant
HN25_P23_C01_S217_comb	B cell
HN28_P6_A09_S105_comb	Fibroblast
HN25_P25_E06_S342_comb	Fibroblast
HN25_P23_H09_S285_comb	Fibroblast
HN28_P6_H07_S187_comb	Fibroblast
HNSCC26_P24_D01_S325_comb	malignant
HN25_P24_H02_S182_comb	malignant
HN26_P13_E03_S147_comb	malignant
HN26_P25_B03_S111_comb	malignant
HNSCC26_P12_D11_S239_comb	Fibroblast
HN28_P6_B03_S111_comb	Fibroblast
HN26_P5_H08_S92_comb	malignant
HN25_P5_B06_S18_comb	myocyte
HN25_P5_B04_S16_comb	Fibroblast
HNSCC26_P24_D02_S326_comb	malignant
HN25_P5_A05_S5_comb	Fibroblast
HN26_P5_D09_S45_comb	malignant
HNSCC26_P12_G11_S275_comb	Fibroblast
HN26_P25_A01_S97_comb	malignant
HN26_P25_A03_S99_comb	malignant
HNSCC26_P12_H11_S287_comb	Fibroblast
HN25_P24_F06_S162_comb	Fibroblast
HN26_P6_A08_S8_comb	Fibroblast
HN25_P5_B12_S24_comb	malignant
HN28_P6_A02_S98_comb	Fibroblast
HN25_P24_G02_S170_comb	Fibroblast
HN26_P13_C04_S124_comb	malignant
HN25_P25_A12_S300_comb	malignant
HN26_P14_C05_S221_comb	Fibroblast
HN25_P24_H04_S184_comb	Fibroblast
HN26_P25_A07_S103_comb	Macrophage
HNSCC26_P12_H07_S283_comb	malignant
HN26_P25_C02_S122_comb	malignant
HN26_P26_F06_S354_comb	malignant
HN28_P6_H10_S190_comb	Fibroblast
HN25_P25_C07_S319_comb	malignant
HNSCC26_P24_C09_S321_comb	malignant
HNSCC26_P24_F08_S356_comb	Fibroblast
HN28_P6_G06_S174_comb	Fibroblast
HN25_P5_H09_S93_comb	Fibroblast
HN26_P14_A02_S194_comb	Fibroblast
HNSCC26_P24_B09_S309_comb	malignant
HN26_P13_F04_S160_comb	Fibroblast
HN25_P24_A08_S104_comb	Fibroblast
HN26_P13_F07_S163_comb	Fibroblast
HN26_P13_D06_S138_comb	malignant
HN28_P15_B12_S312_comb	malignant
HN28_P15_D11_S335_comb	Fibroblast
HN28_P15_C09_S321_comb	Fibroblast
HN26_P25_G03_S171_comb	malignant
HN28_P6_C01_S121_comb	Endothelial
HN25_P23_H02_S278_comb	B cell
HN26_P25_E03_S147_comb	malignant
HN26_P5_F06_S66_comb	Fibroblast
HN28_P15_A01_S289_comb	Fibroblast
HN26_P25_F09_S165_comb	malignant
HN25_P5_B01_S13_comb	Fibroblast
HN26_P6_B02_S14_comb	malignant
HNSCC26_P24_A09_S297_comb	malignant
HN28_P6_E12_S156_comb	Fibroblast
HN25_P5_G10_S82_comb	Fibroblast
HNSCC26_P24_F11_S359_comb	malignant
HN26_P13_G10_S178_comb	Fibroblast
HN26_P6_G03_S75_comb	Fibroblast
HN25_P24_B12_S120_comb	T cell
HN26_P13_B04_S112_comb	malignant
HN26_P13_H09_S189_comb	Fibroblast
HN25_P5_E09_S57_comb	malignant
HN26_P26_D03_S327_comb	malignant
HN26_P14_B04_S208_comb	malignant
