cells	label
PTC03-0205	P
PTC114-0205	P
PTC119-0205	P
PTC128-0205	P
PTC130-0205	P
PTC131-0205	P
PTC132-0205	P
PTC133-0205	P
PTC135-0205	P
PTC137-0205	P
PTC138-0205	P
PTC139-0205	P
PTC140-0205	P
PTC143-0205	P
PTC147-0205	P
PTC151-0205	P
PTC203-0205	P
PTC30-0205	P
PTC42-0205	P
PTC43-0205	P
PTC47-0205	P
PTC48-0205	P
PTC61-0205	P
PTC62-0205	P
PTC63-0205	P
PTC65-0205	P
PTC98-0205	P
TTC104-0205	T
TTC97-0205	T
NTC148-0322	N
PTC10-0322	P
PTC102-0322	P
PTC103-0322	P
PTC107-0322	P
PTC119-0322	P
PTC128-0322	P
PTC132-0322	P
PTC134-0322	P
PTC135-0322	P
PTC138-0322	P
PTC143-0322	P
PTC146-0322	P
PTC157-0322	P
PTC158-0322	P
PTC165-0322	P
PTC166-0322	P
PTC171-0322	P
PTC175-0322	P
PTC18-0322	P
PTC183-0322	P
PTC184-0322	P
PTC188-0322	P
PTC24-0322	P
PTC28-0322	P
PTC32-0322	P
PTC34-0322	P
PTC7-0322	P
TTC129-0322	T
TTC141-0322	T
TTC65-0322	T
TTC70-0322	T
NTC69-0407	N
NTC81-0407	N
NTC96-0407	N
PTC100-0407	P
PTC10-0407	P
PTC111-0407	P
PTC115-0407	P
PTC116-0407	P
PTC120-0407	P
PTC15-0407	P
PTC20-0407	P
PTC27-0407	P
PTC28-0407	P
PTC3-0407	P
PTC38-0407	P
PTC49-0407	P
PTC5-0407	P
PTC56-0407	P
PTC60-0407	P
PTC6-0407	P
PTC61-0407	P
PTC64-0407	P
PTC67-0407	P
PTC70-0407	P
PTC71-0407	P
PTC79-0407	P
PTC80-0407	P
PTC8-0407	P
PTC83-0407	P
PTC9-0407	P
NTC2-55-0508	N
PTC1-1-0508	P
PTC11-0508	P
PTC1-4-0508	P
PTC14-0508	P
PTC1-6-0508	P
PTC16-0508	P
PTC19-0508	P
PTC20-0508	P
PTC2-10-0508	P
PTC2-12-0508	P
PTC2-14-0508	P
PTC2-15-0508	P
PTC2-18-0508	P
PTC2-21-0508	P
PTC2-24-0508	P
PTC2-25-0508	P
PTC2-26-0508	P
PTC2-28-0508	P
PTC2-31-0508	P
PTC2-36-0508	P
PTC2-38-0508	P
PTC2-40-0508	P
PTC2-4-0508	P
PTC24-0508	P
PTC2-42-0508	P
PTC2-49-0508	P
PTC2-51-0508	P
PTC2-52-0508	P
PTC2-53-0508	P
PTC2-54-0508	P
PTC26-0508	P
PTC2-6-0508	P
PTC2-61-0508	P
PTC2-63-0508	P
PTC2-66-0508	P
PTC2-73-0508	P
PTC2-77-0508	P
PTC2-78-0508	P
PTC2-80-0508	P
PTC28-0508	P
PTC2-83-0508	P
PTC2-86-0508	P
PTC2-87-0508	P
PTC2-88-0508	P
PTC2-89-0508	P
PTC29-0508	P
PTC2-93-0508	P
PTC2-94-0508	P
PTC2-96-0508	P
PTC31-0508	P
PTC35-0508	P
PTC37-0508	P
PTC40-0508	P
PTC9-0508	P
TTC18-0508	T
TTC2-38-0508	T
PTC119-1116	P
PTC124-1116	P
PTC134-1116	P
PTC135-1116	P
PTC144-1116	P
PTC149-1116	P
PTC155-1116	P
PTC156-1116	P
PTC164-1116	P
PTC188-1116	P
PTC4-1116	P
PTC98-1116	P
TTC100-1116	T
PTC100-0205	P
PTC103-0205	P
PTC108-0205	P
PTC109-0205	P
PTC113-0205	P
PTC124-0205	P
PTC125-0205	P
PTC129-0205	P
PTC142-0205	P
PTC144-0205	P
PTC17-0205	P
PTC27-0205	P
PTC38-0205	P
PTC40-0205	P
PTC41-0205	P
PTC45-0205	P
PTC49-0205	P
PTC52-0205	P
PTC66-0205	P
PTC9-0205	P
TTC65-0205	T
TTC85-0205	T
TTC88-0205	T
NTC106-0322	N
NTC109-0322	N
NTC166-0322	N
NTC17-0322	N
NTC190-0322	N
NTC192-0322	N
NTC21-0322	N
NTC23-0322	N
NTC8-0322	N
PTC106-0322	P
PTC113-0322	P
PTC115-0322	P
PTC122-0322	P
PTC14-0322	P
PTC141-0322	P
PTC147-0322	P
PTC150-0322	P
PTC152-0322	P
PTC153-0322	P
PTC155-0322	P
PTC16-0322	P
PTC161-0322	P
PTC168-0322	P
PTC173-0322	P
PTC185-0322	P
PTC189-0322	P
PTC20-0322	P
PTC2-0322	P
PTC21-0322	P
PTC25-0322	P
PTC33-0322	P
PTC35-0322	P
PTC37-0322	P
PTC38-0322	P
PTC39-0322	P
PTC6-0322	P
PTC97-0322	P
TTC139-0322	T
NTC100-0407	N
NTC101-0407	N
NTC26-0407	N
NTC38-0407	N
NTC44-0407	N
NTC66-0407	N
NTC77-0407	N
NTC82-0407	N
NTC85-0407	N
NTC90-0407	N
NTC98-0407	N
PTC101-0407	P
PTC102-0407	P
PTC1-0407	P
PTC105-0407	P
PTC108-0407	P
PTC109-0407	P
PTC110-0407	P
PTC11-0407	P
PTC112-0407	P
PTC117-0407	P
PTC118-0407	P
PTC119-0407	P
PTC12-0407	P
PTC16-0407	P
PTC21-0407	P
PTC25-0407	P
PTC26-0407	P
PTC29-0407	P
PTC30-0407	P
PTC4-0407	P
PTC42-0407	P
PTC48-0407	P
PTC51-0407	P
PTC52-0407	P
PTC53-0407	P
PTC54-0407	P
PTC57-0407	P
PTC59-0407	P
PTC68-0407	P
PTC69-0407	P
PTC7-0407	P
PTC75-0407	P
PTC76-0407	P
PTC77-0407	P
PTC81-0407	P
PTC82-0407	P
PTC84-0407	P
PTC86-0407	P
PTC89-0407	P
PTC90-0407	P
PTC94-0407	P
PTC95-0407	P
PTC97-0407	P
PTC98-0407	P
PTC99-0407	P
TTC104-0407	T
TTC11-0407	T
TTC111-0407	T
TTC112-0407	T
TTC113-0407	T
TTC117-0407	T
TTC12-0407	T
TTC125-0407	T
TTC126-0407	T
TTC127-0407	T
TTC16-0407	T
TTC161-0407	T
TTC162-0407	T
TTC163-0407	T
TTC17-0407	T
TTC174-0407	T
TTC177-0407	T
TTC18-0407	T
TTC186-0407	T
TTC190-0407	T
TTC191-0407	T
TTC2-0407	T
TTC26-0407	T
TTC31-0407	T
TTC38-0407	T
TTC56-0407	T
TTC58-0407	T
TTC70-0407	T
TTC74-0407	T
TTC8-0407	T
TTC86-0407	T
TTC87-0407	T
TTC9-0407	T
NTC1-2-0508	N
NTC12-0508	N
NTC1-5-0508	N
NTC2-1-0508	N
NTC2-14-0508	N
NTC2-37-0508	N
NTC2-48-0508	N
NTC2-66-0508	N
NTC2-9-0508	N
NTC38-0508	N
PTC10-0508	P
PTC1-3-0508	P
PTC1-5-0508	P
PTC1-8-0508	P
PTC2-1-0508	P
PTC2-16-0508	P
PTC2-17-0508	P
PTC2-20-0508	P
PTC22-0508	P
PTC2-22-0508	P
PTC2-23-0508	P
PTC2-30-0508	P
PTC2-34-0508	P
PTC2-44-0508	P
PTC2-45-0508	P
PTC2-46-0508	P
PTC2-47-0508	P
PTC2-55-0508	P
PTC2-58-0508	P
PTC2-59-0508	P
PTC2-60-0508	P
PTC2-62-0508	P
PTC2-68-0508	P
PTC2-69-0508	P
PTC2-71-0508	P
PTC2-72-0508	P
PTC2-74-0508	P
PTC2-75-0508	P
PTC2-76-0508	P
PTC2-79-0508	P
PTC2-8-0508	P
PTC2-84-0508	P
PTC2-85-0508	P
PTC2-90-0508	P
PTC2-91-0508	P
PTC2-92-0508	P
PTC2-95-0508	P
PTC34-0508	P
PTC38-0508	P
TTC1-3-0508	T
TTC2-44-0508	T
TTC2-46-0508	T
TTC2-69-0508	T
TTC2-75-0508	T
TTC2-85-0508	T
TTC2-92-0508	T
TTC2-95-0508	T
TTC30-0508	T
TTC37-0508	T
TTC42-0508	T
TTC72-0508	T
TTC83-0508	T
NTC109-1116	N
NTC117-1116	N
NTC120-1116	N
NTC128-1116	N
NTC163-1116	N
NTC182-1116	N
PTC100-1116	P
PTC101-1116	P
PTC102-1116	P
PTC103-1116	P
PTC104-1116	P
PTC105-1116	P
PTC107-1116	P
PTC108-1116	P
PTC109-1116	P
PTC110-1116	P
PTC1-1116	P
PTC112-1116	P
PTC117-1116	P
PTC118-1116	P
PTC120-1116	P
PTC121-1116	P
PTC123-1116	P
PTC125-1116	P
PTC126-1116	P
PTC127-1116	P
PTC128-1116	P
PTC129-1116	P
PTC130-1116	P
PTC132-1116	P
PTC133-1116	P
PTC136-1116	P
PTC138-1116	P
PTC139-1116	P
PTC140-1116	P
PTC142-1116	P
PTC143-1116	P
PTC145-1116	P
PTC146-1116	P
PTC147-1116	P
PTC150-1116	P
PTC151-1116	P
PTC154-1116	P
PTC157-1116	P
PTC158-1116	P
PTC161-1116	P
PTC163-1116	P
PTC166-1116	P
PTC168-1116	P
PTC169-1116	P
PTC170-1116	P
PTC171-1116	P
PTC172-1116	P
PTC173-1116	P
PTC174-1116	P
PTC175-1116	P
PTC176-1116	P
PTC181-1116	P
PTC182-1116	P
PTC185-1116	P
PTC186-1116	P
PTC187-1116	P
PTC189-1116	P
PTC190-1116	P
PTC192-1116	P
PTC2-1116	P
PTC3-1116	P
PTC5-1116	P
PTC7-1116	P
PTC8-1116	P
PTC97-1116	P
PTC99-1116	P
TTC104-1116	T
TTC134-1116	T
TTC88-1116	T
TTC97-1116	T
PTC106-0205	P
PTC136-0205	P
PTC141-0205	P
PTC148-0205	P
PTC24-0205	P
PTC25-0205	P
PTC29-0205	P
PTC31-0205	P
PTC37-0205	P
PTC46-0205	P
PTC59-0205	P
PTC60-0205	P
PTC64-0205	P
PTC8-0205	P
PTC94-0205	P
PTC97-0205	P
TTC140-0205	T
TTC2-0205	T
TTC36-0205	T
TTC48-0205	T
TTC50-0205	T
TTC81-0205	T
TTC82-0205	T
TTC98-0205	T
NTC100-0322	N
NTC10-0322	N
NTC101-0322	N
NTC102-0322	N
NTC103-0322	N
NTC1-0322	N
NTC104-0322	N
NTC105-0322	N
NTC107-0322	N
NTC11-0322	N
NTC111-0322	N
NTC112-0322	N
NTC115-0322	N
NTC118-0322	N
NTC119-0322	N
NTC120-0322	N
NTC12-0322	N
NTC121-0322	N
NTC122-0322	N
NTC123-0322	N
NTC124-0322	N
NTC125-0322	N
NTC126-0322	N
NTC127-0322	N
NTC128-0322	N
NTC129-0322	N
NTC130-0322	N
NTC131-0322	N
NTC132-0322	N
NTC133-0322	N
NTC134-0322	N
NTC135-0322	N
NTC136-0322	N
NTC138-0322	N
NTC139-0322	N
NTC140-0322	N
NTC14-0322	N
NTC141-0322	N
NTC142-0322	N
NTC144-0322	N
NTC146-0322	N
NTC15-0322	N
NTC151-0322	N
NTC153-0322	N
NTC155-0322	N
NTC156-0322	N
NTC157-0322	N
NTC158-0322	N
NTC159-0322	N
NTC160-0322	N
NTC16-0322	N
NTC162-0322	N
NTC163-0322	N
NTC167-0322	N
NTC168-0322	N
NTC173-0322	N
NTC175-0322	N
NTC176-0322	N
NTC177-0322	N
NTC178-0322	N
NTC179-0322	N
NTC180-0322	N
NTC181-0322	N
NTC183-0322	N
NTC184-0322	N
NTC185-0322	N
NTC186-0322	N
NTC189-0322	N
NTC20-0322	N
NTC22-0322	N
NTC4-0322	N
NTC5-0322	N
NTC7-0322	N
NTC9-0322	N
NTC97-0322	N
NTC98-0322	N
NTC99-0322	N
PTC100-0322	P
PTC101-0322	P
PTC104-0322	P
PTC105-0322	P
PTC114-0322	P
PTC116-0322	P
PTC117-0322	P
PTC123-0322	P
PTC125-0322	P
PTC126-0322	P
PTC127-0322	P
PTC129-0322	P
PTC130-0322	P
PTC13-0322	P
PTC131-0322	P
PTC133-0322	P
PTC137-0322	P
PTC140-0322	P
PTC144-0322	P
PTC148-0322	P
PTC149-0322	P
PTC151-0322	P
PTC162-0322	P
PTC163-0322	P
PTC164-0322	P
PTC167-0322	P
PTC169-0322	P
PTC170-0322	P
PTC17-0322	P
PTC172-0322	P
PTC174-0322	P
PTC177-0322	P
PTC179-0322	P
PTC181-0322	P
PTC182-0322	P
PTC190-0322	P
PTC19-0322	P
PTC191-0322	P
PTC192-0322	P
PTC30-0322	P
PTC31-0322	P
PTC99-0322	P
TTC100-0322	T
TTC104-0322	T
TTC105-0322	T
TTC108-0322	T
TTC109-0322	T
TTC118-0322	T
TTC120-0322	T
TTC130-0322	T
TTC132-0322	T
TTC134-0322	T
TTC137-0322	T
TTC142-0322	T
TTC144-0322	T
TTC145-0322	T
